,Cities,Country,Longitude,Latitude,Date,Cloudiness,Temperature Max,Humidity,Wind speed
0,smidovich,RU,133.81,48.6,1555859242,0,39.84,35,6.13
1,chokurdakh,RU,147.9,70.62,1555859243,61,12.48,85,16.28
2,qaanaaq,GL,-69.36,77.48,1555859244,100,3.3,88,3.24
3,tuatapere,NZ,167.69,-46.13,1555858808,0,44.01,95,12.64
4,hit,IQ,42.83,33.64,1555859247,100,70.62,23,19.08
5,mount isa,AU,139.49,-20.73,1555857000,90,78.8,36,9.17
6,zhigansk,RU,123.37,66.77,1555859249,100,17.16,82,7.56
7,albany,US,-73.75,42.65,1555858961,75,68,63,8.05
10,waingapu,ID,120.26,-9.65,1555859252,100,76.02,88,9.71
11,cap malheureux,MU,57.61,-19.98,1555858443,40,82.4,74,13.87
12,sistranda,NO,8.83,63.73,1555859083,75,48.99,87,5.82
14,ushuaia,AR,-68.31,-54.81,1555855200,90,44.6,87,18.34
15,cidreira,BR,-50.22,-30.17,1555859253,97,72.42,67,7.16
16,muli,IN,71.45,22.62,1555859253,0,90.42,24,17.9
17,hadejia,NG,10.04,12.45,1555859253,33,107.52,9,9.53
18,cape town,ZA,18.42,-33.93,1555858968,20,73.99,52,23.04
19,rikitea,PF,-134.97,-23.12,1555859253,25,78.36,80,13.38
20,kainantu,PG,145.87,-6.29,1555859254,77,58.2,99,0.98
21,beringovskiy,RU,179.32,63.05,1555859254,5,-0.12,93,4.54
22,jamestown,AU,138.6,-33.21,1555859254,0,56.94,68,7.7
24,chuy,UY,-53.46,-33.69,1555859249,89,63.42,63,13.35
25,sao joao da barra,BR,-41.05,-21.64,1555855200,20,87.8,55,3.36
26,kavieng,PG,150.8,-2.57,1555859255,44,83.22,73,1.74
27,atuona,PF,-139.03,-9.8,1555859255,3,83.04,75,13.35
28,bredasdorp,ZA,20.04,-34.53,1555858831,4,69.8,64,16.11
29,ribeira grande,PT,-28.7,38.52,1555857000,20,64.4,72,12.75
30,satinka,RU,41.68,52.38,1555859255,89,57.66,35,5.95
31,banda aceh,ID,95.32,5.56,1555859050,19,86.28,72,8.84
33,busselton,AU,115.35,-33.64,1555859167,72,48,57,8.1
34,hilo,US,-155.08,19.71,1555859130,75,69.8,83,4.7
35,flin flon,CA,-101.88,54.77,1555855200,75,32,79,4.7
38,mataura,NZ,168.86,-46.19,1555858808,0,44.01,95,1.43
39,san luis,AR,-66.34,-33.3,1555859225,0,69.01,68,16.04
40,boende,CD,20.88,-0.28,1555859257,100,88.44,59,2.95
41,carnarvon,ZA,22.13,-30.97,1555859257,0,67.2,30,21.54
42,bembereke,BJ,2.66,10.23,1555859258,100,104.1,19,2.26
43,shu,KZ,73.76,43.6,1555859258,100,50.64,86,4.56
44,celestun,MX,-90.4,20.87,1555859258,0,74.4,55,12.48
45,kapaa,US,-159.32,22.08,1555858873,90,75.2,78,16.11
46,qaqortoq,GL,-46.03,60.72,1555854600,75,37.4,55,6.93
47,mar del plata,AR,-67.52,-46.43,1555859260,8,61.62,39,14.74
48,naze,NG,7.07,5.43,1555855200,75,89.6,70,11.41
50,maragogi,BR,-35.22,-9.01,1555859260,54,87.9,54,8.5
51,bay roberts,CA,-53.28,47.58,1555859069,90,42.8,87,12.75
52,yellowknife,CA,-114.38,62.45,1555858966,20,14,78,8.05
53,xai-xai,MZ,33.64,-25.04,1555859261,3,77.64,68,6.91
54,georgetown,GY,-58.16,6.8,1555855200,75,84.2,74,11.41
55,xixiang,CN,113.87,22.58,1555859193,20,82.4,78,9.17
56,torbay,CA,-52.73,47.66,1555859069,90,42.8,87,12.75
58,mastic beach,US,-72.85,40.77,1555859258,90,60.01,93,8.05
59,hithadhoo,MV,73.08,-0.6,1555859262,100,83.58,76,14.88
60,bluff,AU,149.07,-23.58,1555859262,0,67.92,82,15.26
